epoch,train_loss,val_loss,val_bleu,val_chrf
1,4.800922662439481,3.753950446844101,,
2,3.675768905962017,3.329378768801689,11.82539015681046,41.67442144491241
3,3.2300922568415253,3.140108644962311,,
4,2.9740359917492936,3.0214150846004486,15.709264850953147,47.23766429050008
5,2.7970665374272308,2.9319796711206436,,
6,2.657997232087901,2.8669226318597794,20.542033600251703,52.04009386073142
7,2.5326384423484263,2.826527625322342,,
8,2.441669675665842,2.7962610125541687,22.717914671236386,54.62759753470643
9,2.3481150596914158,2.7688140124082565,,
10,2.3167608925994014,2.7582019567489624,22.42606913466767,54.40400668796095
11,2.2619656744137617,2.744753658771515,,
12,2.216720696905969,2.7369494140148163,23.555626598627782,55.1329760603987
13,2.182768030905388,2.727564215660095,,
14,2.149986612964684,2.722806930541992,24.900991534829014,55.79560804055903
15,2.1315206641882236,2.712532117962837,,
16,2.120405225686624,2.7105610221624374,25.85572330327958,56.20049015434765
17,2.1007734134163654,2.7095515578985214,,
18,2.104783231103924,2.7073411345481873,25.419271941781684,56.1740013271964
19,2.0902451327149296,2.7060018479824066,,
20,2.102585384543513,2.7055954188108444,25.912510781101645,56.50684418439834
